Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status
EEE 319,MEASUREMENT AND INSTRUMENTATION,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 321,ELECTRIC CIRCUIT THEORY I,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 322,ELECTRIC CIRCUIT THEORY II,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 324,LINEAR SYSTEMS,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 325,ELECTRICAL MACHINES I,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 326,ELECTRICAL MACHINES II,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 328,COMMUNICATION PRINCIPLES,EEE,300,SECOND,3,CORE,No,EXISTS
EEE 341,SOFTWARE DEVELOPMENT TECHNIQUES,EEE,300,FIRST,3,CORE,No,EXISTS
EEE 405,NUMERICAL COMPUTATIONS,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 415,ASSEMBLY LANGUAGE PROGRAMMING,EEE,400,FIRST,2,CORE,No,EXISTS
EEE 423,ELECTRICAL/ELECTRONICS LABORATORY III,EEE,400,FIRST,1,CORE,No,MISSING
EEE 427,DATA COMMUNICATION AND NETWORKS,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 431,ELECTRIC POWER PRINCIPLES,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 441,CONTROL THEORY AND SERVOMECHANISM,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 471,DIGITAL ELECTRONICS AND SYSTEMS,EEE,400,FIRST,3,CORE,No,EXISTS
EEE 502,ELECTRICAL SERVICES DESIGN,EEE,500,SECOND,2,CORE,No,MISSING
EEE 504,EMBEDDED SYSTEM,EEE,500,SECOND,3,CORE,No,MISSING
EEE 506,DIGITAL SYSTEM DESIGN WITH VDHL PROGRAMMING,EEE,500,SECOND,3,ELECTIVE,Yes,MISSING
EEE 507,MODELLING AND SIMULATION OF ELECTRICAL AND ELECTRONICS SYSTEMS,EEE,500,FIRST,2,CORE,No,EXISTS
EEE 509,ADVANCED ELECTRONICS,EEE,500,FIRST,3,CORE,No,EXISTS
EEE 511,DIGITAL SIGNAL PROCESSING,EEE,500,FIRST,3,CORE,No,EXISTS
EEE 512,DIGITAL COMMUNICATION,EEE,500,SECOND,2,ELECTIVE,Yes,EXISTS
EEE 514,RELIABILITY ENGINEERING,EEE,500,SECOND,2,CORE,No,EXISTS
EEE 523,INDUSTRIAL ELECTRONICS DESIGNS,EEE,500,FIRST,3,ELECTIVE,Yes,MISSING
EEE 535,HIGH FREQUENCY AND MICROWAVE ELECTRONICS,EEE,500,FIRST,3,ELECTIVE,Yes,MISSING
EEE 553,POWER SYSTEMS ENGINEERING,EEE,500,FIRST,3,ELECTIVE,Yes,EXISTS
EEE 554,POWER SYSTEMS COMMUNICATION AND CONTROL,EEE,500,SECOND,3,ELECTIVE,Yes,EXISTS
EEE 555,HIGH VOLTAGE ENGINEERING,EEE,500,FIRST,3,ELECTIVE,Yes,EXISTS
EEE 556,ELECTRIC DRIVES AND APPLICATIONS,EEE,500,SECOND,3,ELECTIVE,Yes,MISSING
EEE 558,ELECTRICAL ENERGY CONVERSION AND STORAGE,EEE,500,SECOND,2,ELECTIVE,Yes,MISSING
EEE 561,CONTROL ENGINEERING,EEE,500,FIRST,3,CORE,No,EXISTS
EEE 562,POWER ELECTRONICS,EEE,500,SECOND,3,CORE,No,EXISTS
EEE 564,SEMINARS ON USE OF ENGINEERING SOFTWARE PACKAGES IN ELECTRICAL/ELECTRONICS FIELD,EEE,500,SECOND,1,CORE,No,MISSING
EEE 565,MODERN CONTROL ENGINEERING,EEE,500,FIRST,3,ELECTIVE,Yes,MISSING
EEE 566,CONTROL ENGINEERING III (NON-LINEAR AND PROCESS AUTOMATION),EEE,500,SECOND,3,ELECTIVE,Yes,EXISTS
EEE 576,MICROCOMPUTER TECHNOLOGY,EEE,500,SECOND,3,ELECTIVE,Yes,MISSING
EEE 578,BROADCASTING AND INTERNET TECHNOLOGY,EEE,500,SECOND,2,ELECTIVE,Yes,MISSING
EEE 599,STUDENT PROJECT,EEE,500,SECOND,6,CORE,No,MISSING
ENG 201,INTRODUCTION TO SCIENCE OF MATERIALS,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 203,STRENGTH OF MATERIALS,ENG,200,FIRST,3,CORE,No,EXISTS
ENG 204,INTRODUCTION TO MECHATRONICS ENGINEERING,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 214,FLUID MECHANICS,ENG,200,SECOND,3,CORE,No,EXISTS
ENG 221,BASIC ELECTRICAL ENGINEERING I,ENG,200,FIRST,3,CORE,No,EXISTS
ENG 222,BASIC ELECTRICAL ENGINEERING II,ENG,200,SECOND,3,CORE,No,EXISTS
ENG 223,COMPUTER APPLICATIONS,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 224,COMPUTER PROGRAMMING AND APPLICATIONS,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 231,ENGINEERING DRAWING I,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 232,ENGINEERING DRAWING II,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 233,ENGINEERING MECHANICS I,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 234,ENGINEERING MECHANICS II,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 235,ENGINEERING THERMODYNAMICS I,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 261,WORKSHOP TECHNOLOGY I,ENG,200,FIRST,2,CORE,No,EXISTS
ENG 262,WORKSHOP TECHNOLOGY II,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 281,ENGINEERING MATHEMATICS I,ENG,200,FIRST,3,CORE,No,EXISTS
ENG 282,ENGINEERING MATHEMATICS II,ENG,200,SECOND,3,CORE,No,EXISTS
ENG 284,ENGINEER IN SOCIETY,ENG,200,SECOND,2,CORE,No,EXISTS
ENG 290,STUDENTS' WORK EXPERIENCE PROGRAMME (SWEP I),ENG,200,SECOND,3,CORE,No,MISSING
ENG 341,COMPUTER PROGRAMMING AND APPLICATIONS,ENG,300,FIRST,2,CORE,No,EXISTS
ENG 381,ENGINEERING MATHEMATICS III,ENG,300,FIRST,3,CORE,No,EXISTS
ENG 382,ENGINEERING MATHEMATICS IV,ENG,300,SECOND,3,CORE,No,EXISTS
ENG 384,ENGINEERING ECONOMICS,ENG,300,SECOND,2,CORE,No,EXISTS
ENG 390,STUDENTS' WORK EXPERIENCE PROGRAMME (SWEP II),ENG,300,SECOND,3,CORE,No,MISSING
ENG 485,TECHNICAL WRITING AND PRESENTATION,ENG,400,FIRST,2,CORE,No,EXISTS
ENG 490,STUDENTS' INDUSTRIAL WORK EXPERIENCE SCHEME (SIWES),ENG,400,SECOND,6,CORE,No,MISSING
ENG 583,ENGINEERING MANAGEMENT AND LAW,ENG,500,FIRST,2,CORE,No,EXISTS
GET 101,ENGINEER IN SOCIETY,GET,100,FIRST,1,CORE,No,MISSING
GET 102,ENGINEERING GRAPHICS AND SOLID MODELLING,GET,100,SECOND,2,CORE,No,MISSING
GST 111,COMMUNICATION IN ENGLISH I,GST,100,FIRST,2,CORE,No,MISSING
GST 112,NIGERIAN PEOPLE AND CULTURE,GST,100,SECOND,2,CORE,No,MISSING
GST 201,PEACE STUDIES AND CONFLICT RESOLUTION,GST,200,FIRST,2,CORE,No,EXISTS
GST 202,PHILOSOPHY AND SUSTAINABLE DEVELOPMENT,GST,200,SECOND,2,CORE,No,EXISTS
GST 212,ENTREPRENEURSHIP AND INNOVATION,GST,200,SECOND,2,CORE,No,EXISTS
GST 301,PRACTICAL ENTREPRENEURSHIP SKILLS,GST,300,FIRST,2,CORE,No,EXISTS
MCT 301,MECHANICAL ACTUATION DESIGN,MCT,300,FIRST,2,CORE,No,EXISTS
MCT 304,SIGNALS AND SYSTEMS,MCT,300,SECOND,2,CORE,No,EXISTS
MCT 305,FLUID MECHANICS II,MCT,300,FIRST,2,CORE,No,EXISTS
MCT 306,MANUFACTURING TECHNOLOGY,MCT,300,SECOND,3,CORE,No,EXISTS
MCT 307,COMPUTER SOFTWARE ENGINEERING I,MCT,300,FIRST,2,CORE,No,EXISTS
MCT 308,ELECTROMECHANICAL DEVICES,MCT,300,SECOND,3,CORE,No,EXISTS
MCT 309,ELECTRONICS I,MCT,300,FIRST,3,CORE,No,EXISTS
MCT 310,COMPUTER HARDWARE ENGINEERING,MCT,300,SECOND,2,CORE,No,EXISTS
MCT 311,ELECTROMAGNETIC THEORY,MCT,300,FIRST,3,CORE,No,EXISTS
MCT 312,ELECTRIC CIRCUIT THEORY,MCT,300,SECOND,2,CORE,No,EXISTS
MCT 314,FLUIDICS AND VIRTUAL LABORATORY,MCT,300,SECOND,3,CORE,No,EXISTS
MCT 315,CIRCUIT AND SYSTEMS,MCT,300,FIRST,2,CORE,No,EXISTS
MCT 317,MECHANICS OF MACHINES I,MCT,300,FIRST,2,CORE,No,EXISTS
MCT 326,ENGINEERING THERMODYNAMICS II,MCT,300,SECOND,3,CORE,No,EXISTS
MCT 401,CONTROL ENGINEERING,MCT,400,FIRST,3,CORE,No,EXISTS
MCT 403,COMPUTER AIDED MANUFACTURING,MCT,400,FIRST,2,CORE,No,MISSING
MCT 407,MEASUREMENT AND INSTRUMENTATION,MCT,400,FIRST,2,CORE,No,EXISTS
MCT 409,DIGITAL SYSTEMS AND PLCS,MCT,400,FIRST,3,CORE,No,EXISTS
MCT 411,ELECTRONICS II,MCT,400,FIRST,3,CORE,No,MISSING
MCT 413,INTRODUCTION TO ROBOTICS,MCT,400,FIRST,2,CORE,No,EXISTS
MCT 415,VIBRATIONS,MCT,400,FIRST,2,CORE,No,MISSING
MCT 417,CAD/CAM/CNC LABORATORY,MCT,400,FIRST,2,CORE,No,EXISTS
MCT 500,PROJECT,MCT,500,"FIRST, SECOND",3,CORE,No,MISSING
MCT 502,AUTOMATION MANUFACTURING,MCT,500,SECOND,3,CORE,No,MISSING
MCT 503,DIGITAL SIGNAL PROCESSING,MCT,500,FIRST,3,CORE,No,EXISTS
MCT 504,MICRO CONTROLLERS AND EMBEDDED SYSTEMS,MCT,500,SECOND,2,CORE,No,MISSING
MCT 505,MICROCOMPUTERS AND MICROPROCESSOR SYSTEMS,MCT,500,FIRST,2,CORE,No,EXISTS
MCT 506,COMPUTER SOFTWARES ENGINEERING II,MCT,500,SECOND,2,CORE,No,MISSING
MCT 507,GROUP PROJECT (ROBOT DESIGN AND MANUFACTURE),MCT,500,FIRST,3,CORE,No,EXISTS
MCT 508,SYSTEM MODELLINGS AND SIMULATION,MCT,500,SECOND,3,CORE,No,MISSING
MCT 509,CONTROL ENGINEERING II,MCT,500,FIRST,3,CORE,No,EXISTS
MCT 510,POWER ELECTRONIC DEVICES,MCT,500,SECOND,3,CORE,No,MISSING
MCT 511,PROCESS AUTOMATION,MCT,500,FIRST,3,CORE,No,EXISTS
MCT 513,PARTIAL AND FULL AUTOMATION,MCT,500,FIRST,3,CORE,No,MISSING
MCT 514,MEMS & VLSI,MCT,500,SECOND,3,ELECTIVE,Yes,MISSING
MCT 517,NC AND CNC PRODUCTION MACHINES,MCT,500,FIRST,3,ELECTIVE,Yes,MISSING
MCT 518,DESIGN OF SECURITY SYSTEMS,MCT,500,SECOND,3,ELECTIVE,Yes,MISSING
MCT 519,MICRO FABRICATION TECHNOLOGY,MCT,500,FIRST,3,ELECTIVE,Yes,MISSING
MCT 520,RENEWABLE ENERGY RESOURCES,MCT,500,SECOND,3,ELECTIVE,Yes,MISSING
MCT 521,MOBILE ROBOTICS,MCT,500,FIRST,3,ELECTIVE,Yes,MISSING
MCT 522,LEAN PRODUCTION MANAGEMENT AND INDUSTRIAL LOGISTICS,MCT,500,SECOND,3,ELECTIVE,Yes,MISSING
MCT 523,CONTROL ENGINEERING III,MCT,500,FIRST,3,ELECTIVE,Yes,EXISTS
MCT 527,HEAT AND MASS TRANSFER,MCT,500,FIRST,3,CORE,No,EXISTS
MCT405,SENSORS AND ACTUATORS,MCT405,400,FIRST,2,CORE,No,MISSING
MEE 101,INTRODUCTION TO MECHANICAL ENGINEERING,MEE,100,FIRST,2,CORE,No,MISSING
MEE 308,MANUFACTURING TECHNOLOGY,MEE,300,SECOND,2,CORE,No,MISSING
MEE 311,MECHANICS OF MACHINES I,MEE,300,FIRST,2,CORE,No,MISSING
MEE 312,MECHANICS OF MACHINES II,MEE,300,SECOND,3,CORE,No,MISSING
MEE 313,STRENGTH OF MATERIALS II,MEE,300,FIRST,3,CORE,No,MISSING
MEE 317,INTRODUCTION TO AUTOCAD,MEE,300,FIRST,3,CORE,No,MISSING
MEE 321,FLUID MECHANICS I,MEE,300,FIRST,3,CORE,No,MISSING
MEE 322,FLUID MECHANICS II,MEE,300,SECOND,3,CORE,No,MISSING
MEE 323,MACHINE AND ENGINEERING DESIGN PROCESS,MEE,300,FIRST,3,CORE,No,MISSING
MEE 326,ENGINEERING THERMODYNAMICS II,MEE,300,SECOND,3,CORE,No,MISSING
MEE 328,METROLOGY AND INSTRUMENTATION,MEE,300,SECOND,3,CORE,No,MISSING
MEE 341,COMPUTER IPROGRAMMING AND SOFTWARE DEVELOPMENT,MEE,300,FIRST,3,CORE,No,MISSING
MEE 342,COMPUTER APPLICATIONS (CAD/CAM) IN DESIGN AND MANUFACTURE,MEE,300,SECOND,2,CORE,No,MISSING
MEE 409,ADVANCED MECHANICS OF MATERIALS,MEE,400,FIRST,3,CORE,No,MISSING
MEE 411,MECHANICAL VIBRATIONS,MEE,400,FIRST,2,CORE,No,MISSING
MEE 413,PRODUCTION ENGINEERING I,MEE,400,FIRST,3,CORE,No,MISSING
MEE 433,MACHINE DESIGN II,MEE,400,FIRST,3,CORE,No,MISSING
MEE 453,METALLURGY AND MATERIALS ENGINEERING,MEE,400,FIRST,3,CORE,No,MISSING
MEE 471,INTERNAL COMBUSTION ENGINES,MEE,400,FIRST,3,CORE,No,MISSING
MEE 485,CONTROL SYSTEMS ENGINEERING,MEE,400,FIRST,3,CORE,No,EXISTS
MEE 500,PROJECT,MEE,500,"FIRST, SECOND",3,CORE,No,MISSING
MEE 501,MATERIALS HANDLING EQUIPMENT,MEE,500,FIRST,3,ELECTIVE,Yes,MISSING
MEE 502,MANUFACTURING AUTOMATION,MEE,500,SECOND,2,CORE,No,MISSING
MEE 507,THEORY OF ELASTICITY,MEE,500,FIRST,3,CORE,No,MISSING
MEE 511,TRIBOLOGY,MEE,500,FIRST,2,CORE,No,MISSING
MEE 513,SYNTHESIS OF MECHANISM,MEE,500,FIRST,3,ELECTIVE,Yes,MISSING
MEE 514,INTRODUCTION TO BIOENGINEERING (BIOMATERIALS),MEE,500,SECOND,3,ELECTIVE,Yes,MISSING
MEE 519,PRODUCT DESIGN,MEE,500,SECOND,3,CORE,No,MISSING
MEE 521,TURBOMACHINERY,MEE,500,FIRST,3,CORE,No,MISSING
MEE 522,HYDRAULIC AND PNEUMATIC ENGINEERING,MEE,500,SECOND,2,CORE,No,MISSING
MEE 526,PROJECT AND MAINTENANCE MANAGEMENT,MEE,500,SECOND,3,ELECTIVE,Yes,MISSING
MEE 527,HEAT AND MASS TRANSFER,MEE,500,FIRST,3,CORE,No,MISSING
MEE 528,PIPELINE ENGHINEERING,MEE,500,SECOND,3,ELECTIVE,Yes,MISSING
MEE 530,FRACTURE OF STRUCTURAL MATERIALS,MEE,500,SECOND,3,ELECTIVE,Yes,MISSING
MEE 531,PRODUCTION ENGINEERING II,MEE,500,FIRST,3,CORE,No,MISSING
MEE 535,REFRIDGERATION AND AIR CONDITIONING,MEE,500,FIRST,3,ELECTIVE,Yes,MISSING
MEE 538,METROLOGY AND QUALITY CONTROL,MEE,500,SECOND,2,CORE,No,MISSING
MEE 540,MACHINE DESIGN III,MEE,500,SECOND,3,CORE,No,MISSING
MEE 542,TECHNOLOGY POLICY AND PLANNING,MEE,500,SECOND,2,CORE,No,MISSING
MEE 543,ENERGY TECHNOLOGY,MEE,500,FIRST,3,CORE,No,MISSING
MEE 553,AUTOMOBILE ENGINEERING,MEE,500,FIRST,3,ELECTIVE,Yes,MISSING
MME 342,COMPUTER APPLICATIONS (CAD/CAM),MME,300,SECOND,2,CORE,No,MISSING
MTH 101,ELEMENTARY MATHEMATICS I,MTH,100,FIRST,2,CORE,No,MISSING
MTH 102,ELEMENTARY MATHEMATICS II,MTH,100,SECOND,2,CORE,No,MISSING
MTH 103,ELEMENTARY MATHEMATICS III,MTH,100,FIRST,2,CORE,No,MISSING
PEE 101,INTRODUCTION TO PETROLEUM AND GAS ENGINEERING,PEE,100,FIRST,2,CORE,No,MISSING
PHS 211,HUMAN PHYSIOLOGY I,PHS,200,FIRST,2,CORE,No,MISSING
PHS 212,HUMAN PHYSIOLOGY II,PHS,200,SECOND,2,CORE,No,MISSING
PHY 101,GENERAL PHYSICS I,PHY,100,FIRST,2,CORE,No,MISSING
PHY 102,GENERAL PHYSICS II,PHY,100,SECOND,2,CORE,No,MISSING
PHY 103,GENERAL PHYSICS III,PHY,100,FIRST,2,CORE,No,EXISTS
PHY 107,GENERAL PRACTICAL PHYSICS 1,PHY,100,FIRST,1,CORE,No,MISSING
PHY 108,GENERAL PRACTICAL PHYSICS II,PHY,100,SECOND,1,CORE,No,MISSING
PTE 301,PETROLEUM ENGINEERING LABORATORY I,PTE,300,FIRST,2,CORE,No,MISSING
PTE 302,PETROLEUM ENGINEERING LABORATORY II,PTE,300,SECOND,2,CORE,No,MISSING
PTE 311,PETROLEUM PRODUCTION ENGINEERING I,PTE,300,FIRST,3,CORE,No,MISSING
PTE 313,DRILLING FLUIDS TECHNOLOGY,PTE,300,FIRST,3,CORE,No,MISSING
PTE 315,ENGINEERING ANALYSIS,PTE,300,FIRST,2,CORE,No,MISSING
PTE 317,INDUSTRIAL STUDIES I,PTE,300,FIRST,2,CORE,No,MISSING
PTE 319,DRILLING TECHNOLOGY I,PTE,300,FIRST,3,CORE,No,MISSING
PTE 322,RESERVOIR ENGINEERING I,PTE,300,SECOND,3,CORE,No,MISSING
PTE 324,HEAT AND MASS TRANSFER,PTE,300,SECOND,2,CORE,No,MISSING
PTE 326,ENGINEERING ANALYSIS II,PTE,300,SECOND,2,CORE,No,MISSING
PTE 328,PETROLEUM ENGINEERING ROCK MECHANICS,PTE,300,SECOND,2,CORE,No,MISSING
PTE 330,INDUSTRIAL STUDIES II,PTE,300,SECOND,2,CORE,No,MISSING
PTE 401,PETROLEUM ENGINEERING LABORATORY III,PTE,400,FIRST,2,CORE,No,MISSING
PTE 411,RESERVOIR ENGINEERING,PTE,400,FIRST,3,CORE,No,MISSING
PTE 413,DRILLING TECHNOLOGY II,PTE,400,FIRST,3,CORE,No,MISSING
PTE 415,PETROLEUM PRODUCTION ENGINEERING II,PTE,400,FIRST,3,CORE,No,MISSING
PTE 417,WELL LOGGING,PTE,400,FIRST,2,CORE,No,MISSING
PTE 419,PETROLEUM GEOLOGY,PTE,400,FIRST,2,CORE,No,MISSING
PTE 421,APPLIED GEOPHYSICS AND PETROLEUM EXPLORATION,PTE,400,FIRST,2,CORE,No,EXISTS
PTE 423,INDUSTRIAL STUDIES III,PTE,400,FIRST,2,CORE,No,MISSING
PTE 500,PETROLEUM ENGINEERING RESEARCH PROJECT,PTE,500,SECOND,6,CORE,No,MISSING
PTE 511,RESERVOIR ENGINEERING III,PTE,500,FIRST,3,CORE,No,EXISTS
PTE 512,ENHANCED OIL RECOVERY,PTE,500,SECOND,2,CORE,No,MISSING
PTE 513,DRILLING TECHNOLOGY III,PTE,500,FIRST,3,CORE,No,EXISTS
PTE 514,PETROLEUM ECONOMICS,PTE,500,SECOND,2,CORE,No,EXISTS
PTE 515,PETROLEUM PRODUCTION ENGINEERING III,PTE,500,FIRST,3,CORE,No,EXISTS
PTE 516,MULTIPLE PHASE FLOW IN PIPES,PTE,500,SECOND,2,CORE,No,EXISTS
PTE 517,RESERVOIR MODELLING AND SIMULATION,PTE,500,FIRST,3,CORE,No,MISSING
PTE 518,OIL POLLUTION AND CONTROL,PTE,500,SECOND,2,CORE,No,EXISTS
PTE 519,PROCESS TECNOLOGY,PTE,500,FIRST,3,CORE,No,EXISTS
PTE 520,OFFSHORE OPERATIONS,PTE,500,SECOND,2,CORE,No,EXISTS
PTE 521,PETROLEUM REFINING TECHNOLOGY,PTE,500,FIRST,3,CORE,No,EXISTS
PTE 522,PETROLEUM PRODUCT TRANSPORT AND STORAGE,PTE,500,SECOND,2,CORE,No,EXISTS
PTE 523,NATURAL GAS PROCESSING,PTE,500,FIRST,2,CORE,No,MISSING
TCH 101,INTRODUCTION TO CHEMICAL ENGINEERING,TCH,100,FIRST,2,CORE,No,EXISTS
AAE 318,Unknown Title,AAE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
CHE 541,Unknown Title,CHE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
CHE 574,Unknown Title,CHE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
COE 471,Unknown Title,COE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
CSC 101,Unknown Title,CSC,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
EEE 461,Unknown Title,EEE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
EEE 513,Unknown Title,EEE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
EEE 552,Unknown Title,EEE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
ENG 342,Unknown Title,ENG,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
GST 113,Unknown Title,GST,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
GST 115,Unknown Title,GST,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
MCT 405,Unknown Title,MCT,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
MME 411,Unknown Title,MME,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
PTE 425,Unknown Title,PTE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
PTE 451,Unknown Title,PTE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
PTE 525,Unknown Title,PTE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
PTE 526,Unknown Title,PTE,Unknown,Unknown,Unknown,Unknown,Unknown,EXISTS_NOT_IN_JSON
